book_id,title,author,genre,sub_genre,pages,reading_level,avg_rating,publish_year,description,tags
B0001,Alice's Adventures in Wonderland,Lewis Carroll,Science Fiction,Hard SF,300,medium,4.0,1865,"A compelling science fiction book by Lewis Carroll, exploring themes of hard sf.",Hard SF
B0002,The Picture of Dorian Gray,Oscar Wilde,Science Fiction,Hard SF,300,medium,4.2,1890,"A compelling science fiction book by Oscar Wilde, exploring themes of hard sf.",Hard SF
B0003,"Frankenstein; or, The Modern Prometheus",Mary Shelley,Science Fiction,Hard SF,300,medium,3.9,1818,"A compelling science fiction book by Mary Shelley, exploring themes of hard sf.",Hard SF
B0004,The Wonderful Wizard of Oz,L. Frank Baum,Science Fiction,Hard SF,300,medium,4.7,1899,"A compelling science fiction book by L. Frank Baum, exploring themes of hard sf.",Hard SF
B0005,Dracula,Bram Stoker,Science Fiction,Hard SF,300,medium,4.5,1897,"A compelling science fiction book by Bram Stoker, exploring themes of hard sf.",Hard SF
B0006,The Art of War,"孙武 (Sun Tzu), Stephen F. Kaufman, Lionel Giles, Onésimo Colavidas",Science Fiction,Hard SF,300,medium,4.3,1900,"A compelling science fiction book by 孙武 (Sun Tzu), Stephen F. Kaufman, Lionel Giles, Onésimo Colavidas, exploring themes of hard sf.",Hard SF
B0007,The Prince,Niccolò Machiavelli,Science Fiction,Hard SF,300,medium,3.7,1515,"A compelling science fiction book by Niccolò Machiavelli, exploring themes of hard sf.",Hard SF
B0008,The Time Machine,H. G. Wells,Science Fiction,Hard SF,300,medium,4.4,1895,"A compelling science fiction book by H. G. Wells, exploring themes of hard sf.",Hard SF
B0009,Walden,Henry David Thoreau,Science Fiction,Hard SF,300,medium,4.0,1854,"A compelling science fiction book by Henry David Thoreau, exploring themes of hard sf.",Hard SF
B0010,Moby Dick,Herman Melville,Science Fiction,Hard SF,300,medium,4.1,1851,"A compelling science fiction book by Herman Melville, exploring themes of hard sf.",Hard SF
B0011,Narrative of the life of Frederick Douglass,Frederick Douglass,Science Fiction,Hard SF,300,medium,4.2,1845,"A compelling science fiction book by Frederick Douglass, exploring themes of hard sf.",Hard SF
B0012,Hard Times,Charles Dickens,Science Fiction,Hard SF,300,medium,4.4,1854,"A compelling science fiction book by Charles Dickens, exploring themes of hard sf.",Hard SF
B0013,Romeo and Juliet,William Shakespeare,Science Fiction,Hard SF,300,medium,4.4,1597,"A compelling science fiction book by William Shakespeare, exploring themes of hard sf.",Hard SF
B0014,Metamorphosis,Franz Kafka,Science Fiction,Hard SF,300,medium,4.3,1915,"A compelling science fiction book by Franz Kafka, exploring themes of hard sf.",Hard SF
B0015,πολιτεία,Plato,Science Fiction,Hard SF,300,medium,4.3,1554,"A compelling science fiction book by Plato, exploring themes of hard sf.",Hard SF
B0016,The Princess and the Goblin,George MacDonald,Science Fiction,Hard SF,300,medium,4.0,1872,"A compelling science fiction book by George MacDonald, exploring themes of hard sf.",Hard SF
B0017,The Lost World,Arthur Conan Doyle,Science Fiction,Hard SF,300,medium,4.5,1900,"A compelling science fiction book by Arthur Conan Doyle, exploring themes of hard sf.",Hard SF
B0018,Brave New World,Aldous Huxley,Science Fiction,Hard SF,300,medium,4.5,1932,"A compelling science fiction book by Aldous Huxley, exploring themes of hard sf.",Hard SF
B0019,The Jewel of Seven Stars,Bram Stoker,Science Fiction,Hard SF,300,medium,3.5,1902,"A compelling science fiction book by Bram Stoker, exploring themes of hard sf.",Hard SF
B0020,Animal Farm,George Orwell,Science Fiction,Hard SF,300,medium,3.5,1945,"A compelling science fiction book by George Orwell, exploring themes of hard sf.",Hard SF
B0021,Tao te Ching,老子,Science Fiction,Hard SF,300,medium,4.4,1842,"A compelling science fiction book by 老子, exploring themes of hard sf.",Hard SF
B0022,Sonnets,William Shakespeare,Science Fiction,Hard SF,300,medium,3.9,1609,"A compelling science fiction book by William Shakespeare, exploring themes of hard sf.",Hard SF
B0023,The Emerald City of Oz,L. Frank Baum,Science Fiction,Hard SF,300,medium,4.4,1910,"A compelling science fiction book by L. Frank Baum, exploring themes of hard sf.",Hard SF
